player_id,player_name,season,trade_date,team_from,team_to,pre_games,post_games,pre_min,post_min,delta_min,pre_fgm,post_fgm,delta_fgm,pre_fga,post_fga,delta_fga,pre_fg_pct,post_fg_pct,delta_fg_pct,pre_fg3m,post_fg3m,delta_fg3m,pre_fg3a,post_fg3a,delta_fg3a,pre_fg3_pct,post_fg3_pct,delta_fg3_pct,pre_ftm,post_ftm,delta_ftm,pre_fta,post_fta,delta_fta,pre_ft_pct,post_ft_pct,delta_ft_pct,pre_oreb,post_oreb,delta_oreb,pre_dreb,post_dreb,delta_dreb,pre_reb,post_reb,delta_reb,pre_ast,post_ast,delta_ast,pre_stl,post_stl,delta_stl,pre_blk,post_blk,delta_blk,pre_tov,post_tov,delta_tov,pre_pf,post_pf,delta_pf,pre_pts,post_pts,delta_pts,pre_plus_minus,post_plus_minus,delta_plus_minus,pre_ts_pct,post_ts_pct,delta_ts_pct,pre_usg_rate,post_usg_rate,delta_usg_rate
1629029,Luka Doncic,2024-25,2025-02-02,DAL,LAL,22,28,35.5455,35.1429,-0.4026,9.8182,8.75,-1.0682,21.1818,19.9643,-1.2175,0.4648,0.4363,-0.0285,3.4091,3.6429,0.2338,9.6364,9.6071,-0.0292,0.3506,0.3576,0.0071,5.0909,7.0357,1.9448,6.6364,8.8929,2.2565,0.7655,0.7881,0.0226,0.7273,0.8571,0.1299,7.5909,7.2143,-0.3766,8.3182,8.0714,-0.2468,7.8182,7.5357,-0.2825,2.0,1.6071,-0.3929,0.4091,0.4286,0.0195,3.4091,3.7143,0.3052,2.6364,2.4286,-0.2078,28.1364,28.1786,0.0422,7.6364,6.2857,-1.3506,0.5837,0.5901,0.0064,185.4732,191.61,6.1368
202710,Jimmy Butler,2024-25,2025-02-06,MIA,GSW,25,30,30.6,32.7333,2.1333,5.68,5.3,-0.38,10.52,11.1333,0.6133,0.5259,0.479,-0.0469,0.52,0.6333,0.1133,1.44,2.2667,0.8267,0.3066,0.2742,-0.0324,5.16,6.7,1.54,6.44,7.7,1.26,0.7062,0.8644,0.1582,2.2,2.3333,0.1333,3.04,3.1667,0.1267,5.24,5.5,0.26,4.8,5.9333,1.1333,1.08,1.6667,0.5867,0.4,0.2667,-0.1333,1.2,1.4667,0.2667,0.92,0.9667,0.0467,17.04,17.9333,0.8933,2.32,6.2333,3.9133,0.638,0.6175,-0.0205,117.5792,117.9668,0.3876
203897,Zach LaVine,2024-25,2025-02-06,CHI,SAC,42,31,34.2143,36.8387,2.6244,8.6429,8.3226,-0.3203,16.9048,16.129,-0.7757,0.4968,0.5118,0.0149,3.2381,3.3226,0.0845,7.2619,7.3226,0.0607,0.4279,0.4485,0.0206,3.4524,2.7419,-0.7104,4.3333,3.129,-1.2043,0.7208,0.7309,0.01,0.2857,0.3226,0.0369,4.5238,3.2903,-1.2335,4.8095,3.6129,-1.1966,4.5,3.8065,-0.6935,0.9286,0.5806,-0.3479,0.2381,0.0645,-0.1736,2.881,2.7742,-0.1068,1.5238,1.8065,0.2826,23.9762,22.7097,-1.2665,0.2381,-1.7419,-1.98,0.6373,0.6486,0.0114,146.862,133.5779,-13.2841
1627827,Dorian Finney-Smith,2024-25,2024-12-29,BKN,LAL,20,43,28.95,28.8372,-0.1128,3.65,2.8372,-0.8128,7.95,6.4186,-1.5314,0.4584,0.4253,-0.0331,2.35,1.907,-0.443,5.4,4.7907,-0.6093,0.4296,0.3511,-0.0786,0.75,0.3488,-0.4012,1.2,0.4884,-0.7116,0.1798,0.1744,-0.0053,1.55,1.1395,-0.4105,3.0,2.4884,-0.5116,4.55,3.6279,-0.9221,1.55,1.3721,-0.1779,0.9,0.9302,0.0302,0.6,0.2558,-0.3442,0.9,0.8837,-0.0163,2.7,1.907,-0.793,10.4,7.9302,-2.4698,2.05,6.2326,4.1826,0.6134,0.5977,-0.0156,80.3733,63.6187,-16.7546
203471,Dennis Schroder,2024-25,2024-12-15,BKN,GSW,23,24,33.5217,26.2917,-7.2301,6.3913,3.9167,-2.4746,14.1304,10.4583,-3.6721,0.4515,0.3776,-0.0739,2.5217,1.5417,-0.9801,6.5217,4.7917,-1.7301,0.3721,0.3502,-0.022,3.1304,1.2083,-1.9221,3.5217,1.625,-1.8967,0.679,0.5312,-0.1478,0.1739,0.4167,0.2428,2.7826,1.9167,-0.8659,2.9565,2.3333,-0.6232,6.6087,4.375,-2.2337,1.1304,1.0417,-0.0888,0.1739,0.125,-0.0489,2.5652,2.0,-0.5652,2.4348,2.7917,0.3569,18.4348,10.5833,-7.8514,-0.087,-5.4167,-5.3297,0.5878,0.4736,-0.1142,135.0431,121.0134,-14.0297
203471,Dennis Schroder,2024-25,2025-02-06,GSW,DET,24,28,26.2917,25.2143,-1.0774,3.9167,3.3929,-0.5238,10.4583,8.9643,-1.494,0.3776,0.3744,-0.0032,1.5417,1.1429,-0.3988,4.7917,3.7857,-1.006,0.3502,0.2541,-0.0961,1.2083,2.8571,1.6488,1.625,3.4286,1.8036,0.5312,0.6546,0.1234,0.4167,0.4643,0.0476,1.9167,2.1786,0.2619,2.3333,2.6429,0.3095,4.375,5.25,0.875,1.0417,0.5357,-0.506,0.125,0.1786,0.0536,2.0,1.25,-0.75,2.7917,2.0357,-0.756,10.5833,10.7857,0.2024,-5.4167,2.1429,7.5595,0.4736,0.5149,0.0413,121.0134,111.2825,-9.7309
1629631,De'Andre Hunter,2024-25,2025-02-06,ATL,CLE,37,27,28.7297,25.1481,-3.5816,6.1351,4.8519,-1.2833,13.2973,10.0,-3.2973,0.4534,0.4967,0.0434,2.6216,2.2222,-0.3994,6.6757,5.2222,-1.4535,0.3903,0.4167,0.0264,4.0811,2.3704,-1.7107,4.7568,2.8889,-1.8679,0.8102,0.6003,-0.2099,0.7297,0.6296,-0.1001,3.1892,3.5556,0.3664,3.9189,4.1852,0.2663,1.5405,1.2963,-0.2442,0.8378,0.7037,-0.1341,0.1351,0.2963,0.1612,1.5946,0.8519,-0.7427,2.3784,2.4815,0.1031,18.973,14.2963,-4.6767,-1.5946,5.4444,7.039,0.6164,0.6342,0.0178,137.2079,115.3373,-21.8706
1627783,Pascal Siakam,2023-24,2024-01-17,TOR,IND,39,41,34.7436,31.8293,-2.9143,8.3333,8.6829,0.3496,15.9744,15.8049,-0.1695,0.5174,0.5503,0.033,1.1795,0.9512,-0.2283,3.7179,2.4634,-1.2545,0.2846,0.3465,0.0619,4.3333,2.9512,-1.3821,5.7179,4.2195,-1.4984,0.7235,0.6701,-0.0533,1.3846,2.0732,0.6886,4.9231,5.7073,0.7842,6.3077,7.7805,1.4728,4.8718,3.7073,-1.1645,0.8205,0.7561,-0.0644,0.2564,0.3659,0.1094,2.1282,1.4146,-0.7136,2.2308,2.5854,0.3546,22.1795,21.2683,-0.9112,0.2308,2.5366,2.3058,0.5998,0.6021,0.0023,142.5555,140.7969,-1.7585
1628384,OG Anunoby,2023-24,2024-01-01,TOR,NYK,27,23,33.4074,34.913,1.5056,5.8148,5.4348,-0.38,11.8889,11.1304,-0.7585,0.4889,0.4803,-0.0086,2.2593,1.7826,-0.4767,6.037,4.5217,-1.5153,0.38,0.3725,-0.0076,1.2222,1.4783,0.256,1.7037,1.8696,0.1659,0.429,0.4355,0.0065,0.8889,1.0,0.1111,3.037,3.4348,0.3977,3.9259,4.4348,0.5089,2.6667,1.5217,-1.1449,1.037,1.7391,0.7021,0.4815,1.0,0.5185,1.5926,1.6522,0.0596,2.2963,2.4783,0.182,15.1111,14.1304,-0.9807,1.3704,15.3478,13.9775,0.5978,0.5911,-0.0067,102.3289,97.4628,-4.8661
1627741,Buddy Hield,2023-24,2024-02-08,IND,PHI,52,32,25.6346,25.8125,0.1779,4.4038,4.4375,0.0337,9.9423,10.4062,0.4639,0.4291,0.4235,-0.0056,2.6346,2.5625,-0.0721,6.8654,6.5938,-0.2716,0.3648,0.3978,0.033,0.5385,0.75,0.2115,0.6346,0.8125,0.1779,0.258,0.375,0.117,0.6538,0.8438,0.1899,2.5577,2.3438,-0.2139,3.2115,3.1875,-0.024,2.6731,3.0312,0.3582,0.8269,0.8438,0.0168,0.5962,0.3438,-0.2524,1.1923,1.2812,0.0889,1.9808,2.0625,0.0817,11.9808,12.1875,0.2067,1.75,-0.8438,-2.5938,0.5861,0.5661,-0.0199,104.6009,114.0799,9.479
