TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,OFF_RATING,DEF_RATING,NET_RATING,PACE,PIE,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,EFG_PCT,TS_PCT,TM_TOV_PCT,TEAM_ABBREVIATION,season
1610612737,Atlanta Hawks,82,48,34,0.585,104.6,100.8,3.9,97.63,0.528,0.663,1.71,19.0,0.234,0.698,0.474,0.516,0.552,0.152,ATL,2015-16
1610612738,Boston Celtics,82,48,34,0.585,105.8,102.5,3.3,99.43,0.52,0.616,1.76,17.4,0.29,0.707,0.495,0.488,0.531,0.138,BOS,2015-16
1610612751,Brooklyn Nets,82,21,61,0.256,102.4,109.7,-7.4,96.12,0.46,0.583,1.51,17.0,0.279,0.716,0.494,0.492,0.527,0.153,BKN,2015-16
1610612766,Charlotte Hornets,82,48,34,0.585,106.4,103.7,2.7,96.24,0.511,0.586,1.73,16.7,0.244,0.754,0.499,0.502,0.545,0.129,CHA,2015-16
1610612741,Chicago Bulls,82,42,40,0.512,104.1,105.5,-1.4,96.6,0.494,0.591,1.64,17.0,0.29,0.714,0.506,0.487,0.526,0.142,CHI,2015-16
1610612739,Cleveland Cavaliers,82,57,25,0.695,110.2,103.9,6.3,93.82,0.528,0.587,1.67,17.4,0.294,0.742,0.519,0.524,0.558,0.143,CLE,2015-16
1610612742,Dallas Mavericks,82,42,40,0.512,105.5,105.9,-0.4,95.34,0.503,0.592,1.73,17.0,0.241,0.723,0.484,0.502,0.544,0.132,DAL,2015-16
1610612743,Denver Nuggets,82,33,49,0.402,104.9,108.2,-3.3,96.34,0.479,0.601,1.55,16.9,0.304,0.732,0.513,0.489,0.531,0.151,DEN,2015-16
1610612765,Detroit Pistons,82,44,38,0.537,105.3,104.9,0.3,95.75,0.486,0.512,1.44,14.8,0.313,0.753,0.521,0.491,0.522,0.14,DET,2015-16
1610612744,Golden State Warriors,82,73,9,0.89,113.5,102.8,10.6,100.24,0.567,0.68,1.91,20.4,0.267,0.72,0.507,0.563,0.593,0.15,GSW,2015-16
1610612745,Houston Rockets,82,41,41,0.5,107.3,107.3,0.0,98.42,0.49,0.589,1.39,16.4,0.297,0.692,0.492,0.516,0.553,0.161,HOU,2015-16
1610612754,Indiana Pacers,82,45,37,0.549,103.8,102.2,1.6,97.35,0.518,0.554,1.43,16.1,0.271,0.714,0.494,0.497,0.536,0.151,IND,2015-16
1610612746,LA Clippers,82,53,29,0.646,107.2,102.7,4.5,96.81,0.533,0.596,1.76,17.4,0.234,0.697,0.472,0.524,0.556,0.133,LAC,2015-16
1610612747,Los Angeles Lakers,82,17,65,0.207,100.7,110.3,-9.7,96.55,0.424,0.513,1.31,14.1,0.271,0.712,0.484,0.46,0.509,0.142,LAL,2015-16
1610612763,Memphis Grizzlies,82,42,40,0.512,104.7,107.1,-2.4,93.95,0.483,0.562,1.56,16.0,0.298,0.709,0.495,0.477,0.524,0.14,MEM,2015-16
1610612748,Miami Heat,82,48,34,0.585,105.5,103.7,1.7,94.14,0.525,0.543,1.48,16.3,0.28,0.729,0.512,0.508,0.545,0.148,MIA,2015-16
1610612749,Milwaukee Bucks,82,33,49,0.402,103.4,107.8,-4.5,95.05,0.483,0.603,1.52,17.6,0.286,0.689,0.49,0.499,0.537,0.159,MIL,2015-16
1610612750,Minnesota Timberwolves,82,29,53,0.354,105.4,109.0,-3.5,96.2,0.497,0.619,1.56,17.6,0.279,0.702,0.494,0.498,0.549,0.155,MIN,2015-16
1610612740,New Orleans Pelicans,82,30,52,0.366,104.8,108.4,-3.7,97.64,0.472,0.577,1.65,16.8,0.252,0.748,0.493,0.498,0.537,0.137,NOP,2015-16
1610612752,New York Knicks,82,32,50,0.39,103.9,106.7,-2.8,94.12,0.487,0.557,1.53,16.0,0.28,0.718,0.502,0.483,0.527,0.142,NYK,2015-16
1610612760,Oklahoma City Thunder,82,55,27,0.671,112.1,104.8,7.4,97.54,0.546,0.558,1.44,16.7,0.347,0.72,0.541,0.524,0.565,0.162,OKC,2015-16
1610612753,Orlando Magic,82,35,47,0.427,104.4,106.0,-1.6,96.68,0.488,0.596,1.67,17.6,0.271,0.726,0.495,0.5,0.533,0.144,ORL,2015-16
1610612755,Philadelphia 76ers,82,10,72,0.122,98.4,108.6,-10.2,98.44,0.428,0.594,1.31,16.3,0.25,0.693,0.466,0.487,0.519,0.165,PHI,2015-16
1610612756,Phoenix Suns,82,23,59,0.28,101.5,107.9,-6.5,99.39,0.45,0.558,1.21,15.4,0.297,0.733,0.508,0.487,0.526,0.173,PHX,2015-16
1610612757,Portland Trail Blazers,82,44,38,0.537,107.6,106.8,0.8,97.06,0.493,0.552,1.46,16.0,0.294,0.728,0.51,0.511,0.548,0.15,POR,2015-16
1610612758,Sacramento Kings,82,33,49,0.402,105.3,107.6,-2.3,100.66,0.494,0.612,1.52,17.6,0.281,0.717,0.5,0.51,0.546,0.16,SAC,2015-16
1610612759,San Antonio Spurs,82,67,15,0.817,109.3,98.2,11.1,94.54,0.578,0.611,1.88,18.8,0.266,0.746,0.516,0.526,0.564,0.138,SAS,2015-16
1610612761,Toronto Raptors,82,56,26,0.683,109.3,104.8,4.4,93.35,0.525,0.511,1.43,14.9,0.3,0.736,0.52,0.504,0.552,0.139,TOR,2015-16
1610612762,Utah Jazz,82,40,42,0.488,105.0,103.2,1.8,91.66,0.508,0.526,1.27,15.1,0.303,0.731,0.517,0.501,0.54,0.161,UTA,2015-16
1610612764,Washington Wizards,82,41,41,0.5,104.5,105.1,-0.5,99.16,0.497,0.619,1.69,18.1,0.25,0.737,0.49,0.511,0.544,0.145,WAS,2015-16
1610612737,Atlanta Hawks,82,43,39,0.524,104.5,105.2,-0.7,97.76,0.506,0.621,1.5,17.4,0.282,0.717,0.502,0.504,0.541,0.16,ATL,2016-17
1610612738,Boston Celtics,82,53,29,0.646,110.6,108.0,2.6,97.21,0.514,0.653,1.9,18.8,0.259,0.705,0.485,0.525,0.567,0.136,BOS,2016-17
1610612751,Brooklyn Nets,82,20,62,0.244,103.6,110.1,-6.5,101.75,0.46,0.566,1.29,15.9,0.241,0.716,0.483,0.507,0.551,0.162,BKN,2016-17
