player_name,season,team_from,team_to,actual_delta,predicted_delta,error,shift_magnitude,model,target
Jimmy Butler,2024-25,MIA,GSW,0.8933,-7.761376082487415,8.654676082487416,2.2565716018530404,ridge,delta_pts
Gordon Hayward,2023-24,CHA,OKC,-9.1723,-2.841448834505632,6.3308511654943675,3.326204885757047,ridge,delta_pts
De'Andre Hunter,2024-25,ATL,CLE,-4.6767,-9.172591143614486,4.495891143614486,1.9859437618212707,ridge,delta_pts
Luka Doncic,2024-25,DAL,LAL,0.0422,-4.127713664685006,4.169913664685006,1.3772872944323893,ridge,delta_pts
Buddy Hield,2023-24,IND,PHI,0.2067,-3.6028728939978345,3.8095728939978346,3.394992299405422,ridge,delta_pts
Pascal Siakam,2023-24,TOR,IND,-0.9112,-4.691919476227171,3.780719476227171,2.1520938627949158,ridge,delta_pts
Dorian Finney-Smith,2024-25,BKN,LAL,-2.4698,0.732267601328721,3.2020676013287215,1.836701258968936,ridge,delta_pts
P.J. Washington,2023-24,CHA,DAL,-1.9467,1.096169084055689,3.042869084055689,2.161782299106557,ridge,delta_pts
Zach LaVine,2024-25,CHI,SAC,-1.2665,-3.8878898407127798,2.62138984071278,2.3025270552549952,ridge,delta_pts
Dennis Schroder,2024-25,BKN,GSW,-7.8514,-6.3974720367692095,1.4539279632307904,2.120299510263175,ridge,delta_pts
Gordon Hayward,2023-24,CHA,OKC,-9.1723,-0.495672234845661,8.67662776515434,3.326204885757047,histgb,delta_pts
Dennis Schroder,2024-25,BKN,GSW,-7.8514,-2.4723038126169286,5.379096187383071,2.120299510263175,histgb,delta_pts
P.J. Washington,2023-24,CHA,DAL,-1.9467,2.86572642048275,4.81242642048275,2.161782299106557,histgb,delta_pts
Buddy Hield,2023-24,IND,PHI,0.2067,2.41153614500767,2.20483614500767,3.394992299405422,histgb,delta_pts
Daniel Gafford,2023-24,WAS,DAL,0.2835,2.3852077254038178,2.1017077254038177,1.8612611848286835,histgb,delta_pts
Dorian Finney-Smith,2024-25,BKN,LAL,-2.4698,-0.3891962633786356,2.0806037366213648,1.836701258968936,histgb,delta_pts
Luka Doncic,2024-25,DAL,LAL,0.0422,-1.7864002131616363,1.8286002131616363,1.3772872944323893,histgb,delta_pts
Pascal Siakam,2023-24,TOR,IND,-0.9112,-2.0087994669720284,1.0975994669720284,2.1520938627949158,histgb,delta_pts
OG Anunoby,2023-24,TOR,NYK,-0.9807,0.03938479116599865,1.0200847911659987,2.6336816014136404,histgb,delta_pts
Jimmy Butler,2024-25,MIA,GSW,0.8933,0.0038721399751360935,0.8894278600248638,2.2565716018530404,histgb,delta_pts
De'Andre Hunter,2024-25,ATL,CLE,0.0178,-0.11645685136800406,0.13425685136800405,1.9859437618212707,ridge,delta_ts_pct
Daniel Gafford,2023-24,WAS,DAL,0.0617,-0.06138404244671133,0.12308404244671133,1.8612611848286835,ridge,delta_ts_pct
P.J. Washington,2023-24,CHA,DAL,-0.0227,0.06857462032371539,0.09127462032371539,2.161782299106557,ridge,delta_ts_pct
Jimmy Butler,2024-25,MIA,GSW,-0.0205,-0.10680954402117446,0.08630954402117445,2.2565716018530404,ridge,delta_ts_pct
Dennis Schroder,2024-25,GSW,DET,0.0413,-0.008823864138709487,0.05012386413870949,2.238376103453066,ridge,delta_ts_pct
